,icl_prompt,ground_truth,target_attributes,GPT 4 Response,borncity,diedcity,city
10,"Luc, Montagnier, ""for their discovery of human immunodeficiency virus"", Medicine: Chabris
George H., Hitchings, ""for their discoveries of important principles for drug treatment"", Medicine: Hoquiam WA
Fritz, Pregl, ""for his invention of the method of micro-analysis of organic substances"", Chemistry: Laibach (now Ljubljana)
Hjalmar, Branting, ""for their lifelong contributions to the cause of peace and organized internationalism"", Peace: ",Stockholm,borncity,Stockholm,Stockholm,Stockholm,
11,"Harvey, Alter, ""for the discovery of Hepatitis C virus"", Medicine: New York NY
Mario, Vargas Llosa, ""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat"", Literature: Arequipa
Merton H., Miller, ""for their pioneering work in the theory of financial economics"", Economics: Boston MA
Ernest T.S., Walton, ""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"", Physics: ",Dungarvan,borncity,"Waterford, Ireland",Dungarvan,Belfast,Dublin
12,"Jean, Tirole, ""for his analysis of market power and regulation"", Economics: Troyes
Franco, Modigliani, ""for his pioneering analyses of saving and of financial markets"", Economics: Rome
Francis, Crick, ""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"", Medicine: Northampton
Harry, Martinson, ""for writings that catch the dewdrop and reflect the cosmos"", Literature: ",Jämshög,borncity,Jämshög,Jämshög,Stockholm,
13,"Walther, Nernst, ""in recognition of his work in thermochemistry"", Chemistry: Briesen (now Wąbrzeźno)
Oliver E., Williamson, ""for his analysis of economic governance especially the boundaries of the firm"", Economics: Superior WI
Barry, Sharpless, ""for his work on chirally catalysed oxidation reactions"", Chemistry: Philadelphia PA
Heike, Kamerlingh Onnes, ""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium"", Physics: ",Groningen,borncity,Groningen,Groningen,Leiden,Leiden
14,"Ellen, Johnson Sirleaf, ""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work"", Peace: Monrovia
Subramanyan, Chandrasekhar, ""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"", Physics: Lahore
Theodore W., Schultz, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Arlington SD
Douglass C., North, ""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"", Economics: ",Cambridge MA,borncity,Cambridge MA,Cambridge MA,Benzonia MI,St. Louis MO
15,"A. Michael, Spence, ""for their analyses of markets with asymmetric information"", Economics: Montclair NJ
Patrick, White, ""for an epic and psychological narrative art which has introduced a new continent into literature"", Literature: London
George F., Smoot, ""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"", Physics: Yukon FL
Albert, Schweitzer, ""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one"", Peace: ",Kaysersberg,borncity,"Kaysersberg, France",Kaysersberg,Lambaréné,
16,"J. M., Coetzee, ""who in innumerable guises portrays the surprising involvement of the outsider"", Literature: Cape Town
D. Carleton, Gajdusek, ""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"", Medicine: Yonkers NY
Konrad, Bloch, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: Neisse (now Nysa)
George, Porter, ""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"", Chemistry: ",Stainforth,borncity,Stalybridge,Stainforth,Canterbury,London
17,"Jacques, Monod, ""for their discoveries concerning genetic control of enzyme and virus synthesis"", Medicine: Paris
George H., Hitchings, ""for their discoveries of important principles for drug treatment"", Medicine: Hoquiam WA
Roger W., Sperry, ""for his discoveries concerning the functional specialization of the cerebral hemispheres"", Medicine: Hartford CT
Theodore W., Schultz, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: ",Arlington SD,borncity,"Arlington SD Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Castries, Saint Lucia",Arlington SD,Evanston IL,Chicago IL
18,"Julius, Wagner-Jauregg, ""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica"", Medicine: Wels
Michael, Rosbash, ""for their discoveries of molecular mechanisms controlling the circadian rhythm"", Medicine: Kansas City MO
Barack, Obama, ""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples"", Peace: Honolulu HI
Ferdinand, Buisson, ""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation"", Peace: ",Paris,borncity,Paris,Paris,Thieuloy-Saint-Antoine,
19,"Hiroshi, Amano, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: Hamamatsu
Robert F., Engle III, ""for methods of analyzing economic time series with time-varying volatility (ARCH)"", Economics: Syracuse NY
Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Castries
Alfred G., Gilman, ""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"", Medicine: ",New Haven CT,borncity,New Haven CT,New Haven CT,Dallas TX,Dallas TX
20,"Hideki, Shirakawa, ""for the discovery and development of conductive polymers"", Chemistry: Tokyo
Leonid, Hurwicz, ""for having laid the foundations of mechanism design theory"", Economics: Moscow
Albert, Claude, ""for their discoveries concerning the structural and functional organization of the cell"", Medicine: Longlier
Shinya, Yamanaka, ""for the discovery that mature cells can be reprogrammed to become pluripotent"", Medicine: ",Osaka,borncity,Osaka,Osaka,,Kyoto
21,"Roger W., Sperry, ""for his discoveries concerning the functional specialization of the cerebral hemispheres"", Medicine: Hartford CT
Adolf, Butenandt, ""for his work on sex hormones"", Chemistry: Bremerhaven-Lehe
Kenzaburo, Oe, ""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today"", Literature: Uchiko
William, Lipscomb, ""for his studies on the structure of boranes illuminating problems of chemical bonding"", Chemistry: ",Cleveland OH,borncity,Cleveland OH,Cleveland OH,Cambridge MA,Cambridge MA
22,"Jean Baptiste, Perrin, ""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium"", Physics: Lille
Edmond H., Fischer, ""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"", Medicine: Shanghai
Ales, Bialiatski, ""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."", Peace: Vyartsilya Karelia
E. Donnall, Thomas, ""for their discoveries concerning organ and cell transplantation in the treatment of human disease"", Medicine: ",Mart TX,borncity,"Mart, Texas",Mart TX,Seattle WA,Seattle WA
23,"Verner, von Heidenstam, ""in recognition of his significance as the leading representative of a new era in our literature"", Literature: Olshammar
Imre, Kertész, ""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history"", Literature: Budapest
Esther, Duflo, ""for their experimental approach to alleviating global poverty"", Economics: Paris
Jacques, Monod, ""for their discoveries concerning genetic control of enzyme and virus synthesis"", Medicine: ",Paris,borncity,Paris,Paris,Cannes,Paris
24,"Serge, Haroche, ""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"", Physics: Casablanca
Allvar, Gullstrand, ""for his work on the dioptrics of the eye"", Medicine: Landskrona
Eisaku, Sato, ""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty"", Peace: Tabuse
Daniel, Kahneman, ""for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty"", Economics: ",Tel Aviv,borncity,Tel Aviv,Tel Aviv,,Princeton NJ
25,"Santiago, Ramón y Cajal, ""in recognition of their work on the structure of the nervous system"", Medicine: Petilla de Aragón
Bengt I., Samuelsson, ""for their discoveries concerning prostaglandins and related biologically active substances"", Medicine: Halmstad
Bert, Sakmann, ""for their discoveries concerning the function of single ion channels in cells"", Medicine: Stuttgart
Arthur L., Schawlow, ""for their contribution to the development of laser spectroscopy"", Physics: ",Mount Vernon NY,borncity,Mount Vernon,Mount Vernon NY,Palo Alto CA,Stanford CA
26,"Oliver, Hart, ""for their contributions to contract theory"", Economics: London
Bertha, von Suttner, ""for her audacity to oppose the horrors of war"", Peace: Prague
Wangari, Maathai, ""for her contribution to sustainable development democracy and peace"", Peace: Nyeri
Alain, Aspect, ""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science"", Physics: ",Agen,borncity,Agen,Agen,,Paris
27,"Sir William, Ramsay, ""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system"", Chemistry: Glasgow
Shinya, Yamanaka, ""for the discovery that mature cells can be reprogrammed to become pluripotent"", Medicine: Osaka
Richard, Willstätter, ""for his researches on plant pigments especially chlorophyll"", Chemistry: Karlsruhe
Michael, Smith, ""for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies"", Chemistry: ",Blackpool,borncity,Vancouver,Blackpool,Vancouver,Vancouver
28,"Octavio, Paz, ""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity"", Literature: Mexico City
Harold, Pinter, ""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms"", Literature: London
Martin, Karplus, ""for the development of multiscale models for complex chemical systems"", Chemistry: Vienna
Wole, Soyinka, ""who in a wide cultural perspective and with poetic overtones fashions the drama of existence"", Literature: ",Abeokuta,borncity,"Abeokuta, Nigeria",Abeokuta,,
29,"Raymond, Davis Jr., ""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos"", Physics: Washington D.C.
Wole, Soyinka, ""who in a wide cultural perspective and with poetic overtones fashions the drama of existence"", Literature: Abeokuta
Aaron, Ciechanover, ""for the discovery of ubiquitin-mediated protein degradation"", Chemistry: Haifa
Willis E., Lamb, ""for his discoveries concerning the fine structure of the hydrogen spectrum"", Physics: ",Los Angeles CA,borncity,Los Angeles,Los Angeles CA,Tucson AZ,Stanford CA
30,"Godfrey N., Hounsfield, ""for the development of computer assisted tomography"", Medicine: Newark
Willis E., Lamb, ""for his discoveries concerning the fine structure of the hydrogen spectrum"", Physics: Los Angeles CA
Christian, Lange, ""for their lifelong contributions to the cause of peace and organized internationalism"", Peace: Stavanger
Joseph H., Taylor Jr., ""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation"", Physics: ",Philadelphia PA,borncity,"Haverford, PA",Philadelphia PA,,Princeton NJ
31,"Sir Bernard, Katz, ""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation"", Medicine: Leipzig
Douglas D., Osheroff, ""for their discovery of superfluidity in helium-3"", Physics: Aberdeen WA
Thomas C., Schelling, ""for having enhanced our understanding of conflict and cooperation through game-theory analysis"", Economics: Oakland CA
Kenichi, Fukui, ""for their theories developed independently concerning the course of chemical reactions"", Chemistry: ",Nara,borncity,"Nara, Japan",Nara,Kyoto,Kyoto
32,"Erwin, Schrödinger, ""for the discovery of new productive forms of atomic theory"", Physics: Vienna
Sully, Prudhomme, ""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect"", Literature: Paris
Jules A., Hoffmann, ""for their discoveries concerning the activation of innate immunity"", Medicine: Echternach
Arthur, Harden, ""for their investigations on the fermentation of sugar and fermentative enzymes"", Chemistry: ",Manchester,borncity,Manchester,Manchester,Bourne,London
33,"Wolfgang, Ketterle, ""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"", Physics: Heidelberg
Salvatore, Quasimodo, ""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times"", Literature: Modica
Clifford G., Shull, ""for the development of the neutron diffraction technique"", Physics: Pittsburgh PA
Gertrude B., Elion, ""for their discoveries of important principles for drug treatment"", Medicine: ",New York NY,borncity,New York,New York NY,Chapel Hill NC,Research Triangle Park NC
34,"Frédéric, Passy, ""for his lifelong work for international peace conferences diplomacy and arbitration"", Peace: Paris
Carlos Filipe Ximenes, Belo, ""for their work towards a just and peaceful solution to the conflict in East Timor"", Peace: Wailacama
Robert C., Richardson, ""for their discovery of superfluidity in helium-3"", Physics: Washington D.C.
Tasuku, Honjo, ""for their discovery of cancer therapy by inhibition of negative immune regulation"", Medicine: ",Kyoto,borncity,Kyoto,Kyoto,,Kyoto
35,"Gary, Becker, ""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour"", Economics: Pottsville PA
F. Sherwood, Rowland, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: Delaware OH
Woodrow, Wilson, ""for his role as founder of the League of Nations"", Peace: Staunton VA
Nelly, Sachs, ""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength"", Literature: ",Berlin,borncity,"Berlin, Germany",Berlin,Stockholm,
36,"Melvin, Calvin, ""for his research on the carbon dioxide assimilation in plants"", Chemistry: St. Paul MN
Alfred, Werner, ""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"", Chemistry: Mulhouse
Randal, Cremer, ""for his longstanding and devoted effort in favour of the ideas of peace and arbitration"", Peace: Fareham
Jacques, Dubochet, ""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"", Chemistry: ",Aigle,borncity,Aigle,Aigle,,Lausanne
37,"John, Bardeen, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: Madison WI
Thomas C., Schelling, ""for having enhanced our understanding of conflict and cooperation through game-theory analysis"", Economics: Oakland CA
Jens C., Skou, ""for the first discovery of an ion-transporting enzyme Na+ K+ -ATPase"", Chemistry: Lemvig
Shimon, Peres, ""for their efforts to create peace in the Middle East"", Peace: ",Vishneva,borncity,Vishnyakov,Vishneva,Tel Aviv,
38,"John, Goodenough, ""for the development of lithium-ion batteries"", Chemistry: Jena
J.J., Thomson, ""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases"", Physics: Cheetham Hill
Riccardo, Giacconi, ""for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources"", Physics: Genoa
Sir J. Fraser, Stoddart, ""for the design and synthesis of molecular machines"", Chemistry: ",Edinburgh,borncity,Edinburgh,Edinburgh,,Evanston IL
39,"Gregg, Semenza, ""for their discoveries of how cells sense and adapt to oxygen availability"", Medicine: New York NY
Jane, Addams, ""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind"", Peace: Cedarville IL
Thomas H., Morgan, ""for his discoveries concerning the role played by the chromosome in heredity"", Medicine: Lexington KY
Pearl, Buck, ""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces"", Literature: ",Hillsboro WV,borncity,"Hillsboro, WV",Hillsboro WV,Danby VT,
40,"Carl, Wieman, ""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"", Physics: Corvallis OR
Barbara, McClintock, ""for her discovery of mobile genetic elements"", Medicine: Hartford CT
William P., Murphy, ""for their discoveries concerning liver therapy in cases of anaemia"", Medicine: Stoughton WI
Alexandr, Solzhenitsyn, ""for the ethical force with which he has pursued the indispensable traditions of Russian literature"", Literature: ",Kislovodsk,borncity,"Kislovodsk, Russia",Kislovodsk,Troitse-Lykovo,
41,"Manne, Siegbahn, ""for his discoveries and research in the field of X-ray spectroscopy"", Physics: Örebro
Gertrude B., Elion, ""for their discoveries of important principles for drug treatment"", Medicine: New York NY
Boris, Pasternak, ""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition"", Literature: Moscow
Paul D., Boyer, ""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"", Chemistry: ",Provo UT,borncity,"Los Angeles, CA",Provo UT,Los Angeles CA,Los Angeles CA
42,"Victor, Grignard, ""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry"", Chemistry: Cherbourg
Nelson, Mandela, ""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa"", Peace: Qunu
Wangari, Maathai, ""for her contribution to sustainable development democracy and peace"", Peace: Nyeri
Frederick, Reines, ""for the detection of the neutrino"", Physics: ",Paterson NJ,borncity,Paterson,Paterson NJ,Orange CA,Irvine CA
43,"William, Faulkner, ""for his powerful and artistically unique contribution to the modern American novel"", Literature: New Albany MS
Albert, Einstein, ""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect"", Physics: Ulm
Rainer, Weiss, ""for decisive contributions to the LIGO detector and the observation of gravitational waves"", Physics: Berlin
Ralph M., Steinman, ""for his discovery of the dendritic cell and its role in adaptive immunity"", Medicine: ",Montreal,borncity,Montreal,Montreal,New York NY,New York NY
44,"Arthur, Harden, ""for their investigations on the fermentation of sugar and fermentative enzymes"", Chemistry: Manchester
Menachem, Begin, ""for jointly having negotiated peace between Egypt and Israel in 1978"", Peace: Brest Litovsk
Aung San Suu Kyi, ""for her non-violent struggle for democracy and human rights"", Peace: Rangoon (now Yangon)
Ernest, Lawrence, ""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements"", Physics: ",Canton SD,borncity,"Canton, South Dakota",Canton SD,Palo Alto CA,Berkeley CA
45,"Carol W., Greider, ""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"", Medicine: San Diego CA
Mo, Yan, ""who with hallucinatory realism merges folk tales history and the contemporary"", Literature: Gaomi
Werner, Heisenberg, ""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen"", Physics: Würzburg
Jean-Marie Gustave, Le Clézio, ""author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization"", Literature: ",Nice,borncity,Nice,Nice,,
46,"Jacques, Dubochet, ""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"", Chemistry: Aigle
Paul A., Samuelson, ""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science"", Economics: Gary IN
Brian D., Josephson, ""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects"", Physics: Cardiff
Nelson, Mandela, ""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa"", Peace: ",Qunu,borncity,Qunu,Qunu,Johannesburg,
47,"Gabriel, García Márquez, ""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts"", Literature: Aracataca
Elinor, Ostrom, ""for her analysis of economic governance especially the commons"", Economics: Los Angeles CA
Rudolph A., Marcus, ""for his contributions to the theory of electron transfer reactions in chemical systems"", Chemistry: Montreal
James, Cronin, ""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"", Physics: ",Chicago IL,borncity,"Chicago, IL",Chicago IL,St. Paul MN,Chicago IL
48,"Joseph E., Stiglitz, ""for their analyses of markets with asymmetric information"", Economics: Gary IN
Alvin E., Roth, ""for the theory of stable allocations and the practice of market design"", Economics: New York NY
Fredrik, Bajer, ""for their long time work for the cause of peace as politicians peace society leaders orators and authors"", Peace: Næstved
Bernard L., Feringa, ""for the design and synthesis of molecular machines"", Chemistry: ",Barger-Compascuum,borncity,Groningen,Barger-Compascuum,,Groningen
49,"Eric, Kandel, ""for their discoveries concerning signal transduction in the nervous system"", Medicine: Vienna
François, Englert, ""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider"", Physics: Etterbeek
Derek, Walcott, ""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment"", Literature: Castries
Leon N., Cooper, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: ",New York NY,borncity,New York,New York NY,,Providence RI
50,"Christopher A., Sims, ""for their empirical research on cause and effect in the macroeconomy"", Economics: Washington D.C.
Peter C., Doherty, ""for their discoveries concerning the specificity of the cell mediated immune defence"", Medicine: Brisbane
Willem, Einthoven, ""for his discovery of the mechanism of the electrocardiogram"", Medicine: Semarang
Henrik, Pontoppidan, ""for his authentic descriptions of present-day life in Denmark"", Literature: ",Fredericia,borncity,Frederiksberg,Fredericia,Ordrup,
51,"Rudolph A., Marcus, ""for his contributions to the theory of electron transfer reactions in chemical systems"", Chemistry: Montreal
Toshihide, Maskawa, ""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"", Physics: Nagoya
Julian, Schwinger, ""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles"", Physics: New York NY
Barry, Sharpless, ""for the development of click chemistry and bioorthogonal chemistry"", Chemistry: ",Philadelphia PA,borncity,"La Jolla, CA",Philadelphia PA,,La Jolla CA
52,"Joseph E., Stiglitz, ""for their analyses of markets with asymmetric information"", Economics: Gary IN
Zhores, Alferov, ""for developing semiconductor heterostructures used in high-speed- and opto-electronics"", Physics: Vitebsk Belorussia
Pierre-Gilles, de Gennes, ""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers"", Physics: Paris
Eugene, Wigner, ""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles"", Physics: ",Budapest,borncity,"Budapest, Hungary",Budapest,Princeton NJ,Princeton NJ
53,"J. Georg, Bednorz, ""for their important break-through in the discovery of superconductivity in ceramic materials"", Physics: Neuenkirchen
Ivan, Bunin, ""for the strict artistry with which he has carried on the classical Russian traditions in prose writing"", Literature: Voronezh
Luigi, Pirandello, ""for his bold and ingenious revival of dramatic and scenic art"", Literature: Agrigento Sicily
Ernst Otto, Fischer, ""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds"", Chemistry: ",Munich,borncity,Munich,Munich,Munich,Munich
54,"Martin, Ryle, ""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars"", Physics: Brighton
Robert, Wilson, ""for improvements to auction theory and inventions of new auction formats"", Economics: Geneva NE
Arthur B., McDonald, ""for the discovery of neutrino oscillations which shows that neutrinos have mass"", Physics: Sydney
Otto, Loewi, ""for their discoveries relating to chemical transmission of nerve impulses"", Medicine: ",Frankfurt-on-the-Main,borncity,Frankfurt am Main,Frankfurt-on-the-Main,New York NY,Graz
55,"Arthur, Henderson, ""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34"", Peace: Glasgow
Richard F., Heck, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: Springfield MA
J. Hans D., Jensen, ""for their discoveries concerning nuclear shell structure"", Physics: Hamburg
Sir Norman, Angell, ""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace"", Peace: ",Holbeach,borncity,Holbeach,Holbeach,Croydon,
