,icl_prompt,ground_truth,target_attributes,GPT 4 Response,born,died,year
40,"Ragnar, Frisch, ""for having developed and applied dynamic models for the analysis of economic processes"", Economics: 1895
Muhammad, Yunus, ""for their efforts to create economic and social development from below"", Peace: 1940
Thomas A., Steitz, ""for studies of the structure and function of the ribosome"", Chemistry: 1940
Sigrid, Undset, ""principally for her powerful descriptions of Northern life during the Middle Ages"", Literature: ",1882,born,1882,1882,1949,1928
41,"Vicente, Aleixandre, ""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars"", Literature: 1898
Robert M., Solow, ""for his contributions to the theory of economic growth"", Economics: 1924
Arthur, Ashkin, ""for the optical tweezers and their application to biological systems"", Physics: 1922
Paul D., Boyer, ""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"", Chemistry: ",1918,born,1918,1918,2018,1997
42,"Eric, Betzig, ""for the development of super-resolved fluorescence microscopy"", Chemistry: 1960
Tomas, Tranströmer, ""because through his condensed translucent images he gives us fresh access to reality"", Literature: 1931
Hans G., Dehmelt, ""for the development of the ion trap technique"", Physics: 1922
John B., Fenn, ""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"", Chemistry: ",1917,born,1917,1917,2010,2002
43,"Bruce A., Beutler, ""for their discoveries concerning the activation of innate immunity"", Medicine: 1957
Frank, Wilczek, ""for the discovery of asymptotic freedom in the theory of the strong interaction"", Physics: 1951
Friedrich, Bergius, ""in recognition of their contributions to the invention and development of chemical high pressure methods"", Chemistry: 1884
Otto, Wallach, ""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds"", Chemistry: ",1847,born,1847,1847,1931,1910
44,"Douglas D., Osheroff, ""for their discovery of superfluidity in helium-3"", Physics: 1945
Sune K., Bergström, ""for their discoveries concerning prostaglandins and related biologically active substances"", Medicine: 1916
Robert M., Solow, ""for his contributions to the theory of economic growth"", Economics: 1924
Stefan W., Hell, ""for the development of super-resolved fluorescence microscopy"", Chemistry: ",1962,born,1962,1962,,2014
45,"Arthur, Harden, ""for their investigations on the fermentation of sugar and fermentative enzymes"", Chemistry: 1865
Richard R., Schrock, ""for the development of the metathesis method in organic synthesis"", Chemistry: 1945
Henrik, Pontoppidan, ""for his authentic descriptions of present-day life in Denmark"", Literature: 1857
Olga, Tokarczuk, ""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life"", Literature: ",1962,born,1962,1962,,2018
46,"F. Sherwood, Rowland, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: 1927
Richard E., Smalley, ""for their discovery of fullerenes"", Chemistry: 1943
Jean, Dausset, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: 1916
Oliver, Smithies, ""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"", Medicine: ",1925,born,1925,1925,2017,2007
47,"Bengt I., Samuelsson, ""for their discoveries concerning prostaglandins and related biologically active substances"", Medicine: 1934
Paul, Krugman, ""for his analysis of trade patterns and location of economic activity"", Economics: 1953
Santiago, Ramón y Cajal, ""in recognition of their work on the structure of the nervous system"", Medicine: 1852
Andrew Z., Fire, ""for their discovery of RNA interference - gene silencing by double-stranded RNA"", Medicine: ",1959,born,1959,1959,,2006
48,"Christiaan, Eijkman, ""for his discovery of the antineuritic vitamin"", Medicine: 1858
Giorgos, Seferis, ""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture"", Literature: 1900
Linda B., Buck, ""for their discoveries of odorant receptors and the organization of the olfactory system"", Medicine: 1947
James P., Allison, ""for their discovery of cancer therapy by inhibition of negative immune regulation"", Medicine: ",1948,born,1948,1948,,2018
49,"Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: 1915
Ronald H., Coase, ""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy"", Economics: 1910
Arthur, Kornberg, ""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"", Medicine: 1918
Jack, Steinberger, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: ",1921,born,1921,1921,2020,1988
50,"Ben R., Mottelson, ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"", Physics: 1926
Jean-Paul, Sartre, ""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age"", Literature: 1905
Trygve, Haavelmo, ""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures"", Economics: 1911
Wilhelm, Ostwald, ""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction"", Chemistry: ",1853,born,1853,1853,1932,1909
51,"Wolfgang, Ketterle, ""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"", Physics: 1957
Georg, Wittig, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: 1897
Johann, Deisenhofer, ""for the determination of the three-dimensional structure of a photosynthetic reaction centre"", Chemistry: 1943
John C., Mather, ""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"", Physics: ",1946,born,1946,1946,,2006
52,"Emmanuelle, Charpentier, ""for the development of a method for genome editing"", Chemistry: 1968
Ivo, Andric, ""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country"", Literature: 1892
Henrik, Pontoppidan, ""for his authentic descriptions of present-day life in Denmark"", Literature: 1857
Michel, Mayor, ""for the discovery of an exoplanet orbiting a solar-type star"", Physics: ",1942,born,1942,1942,,2019
53,"James, Chadwick, ""for the discovery of the neutron"", Physics: 1891
John, Bardeen, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: 1908
Malala, Yousafzai, ""for their struggle against the suppression of children and young people and for the right of all children to education"", Peace: 1997
Paul C., Lauterbur, ""for their discoveries concerning magnetic resonance imaging"", Medicine: ",1929,born,1929,1929,2007,2003
54,"Ferdinand, Buisson, ""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation"", Peace: 1841
Jack, Kilby, ""for his part in the invention of the integrated circuit"", Physics: 1923
Albrecht, Kossel, ""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances"", Medicine: 1853
Léon, Bourgeois, ""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations"", Peace: ",1851,born,1851,1851,1925,1920
55,"Hiroshi, Amano, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: 1960
Martin, Rodbell, ""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"", Medicine: 1925
Sir Charles, Sherrington, ""for their discoveries regarding the functions of neurons"", Medicine: 1857
Annie, Ernaux, ""for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory"", Literature: ",1940,born,1940,1940,,2022
56,"Thomas, Mann, ""principally for his great novel <I>Buddenbrooks</I> which has won steadily increased recognition as one of the classic works of contemporary literature"", Literature: 1875
Carl, Bosch, ""in recognition of their contributions to the invention and development of chemical high pressure methods"", Chemistry: 1874
Robert, Huber, ""for the determination of the three-dimensional structure of a photosynthetic reaction centre"", Chemistry: 1937
Robert, Wilson, ""for improvements to auction theory and inventions of new auction formats"", Economics: ",1937,born,1937,1937,,2020
57,"Murray, Gell-Mann, ""for his contributions and discoveries concerning the classification of elementary particles and their interactions"", Physics: 1929
James P., Allison, ""for their discovery of cancer therapy by inhibition of negative immune regulation"", Medicine: 1948
Cordell, Hull, ""for his indefatigable work for international understanding and his pivotal role in establishing the United Nations"", Peace: 1871
Felix, Bloch, ""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"", Physics: ",1905,born,1905,1905,1983,1952
58,"Juan Manuel, Santos, ""for his resolute efforts to bring the country's more than 50-year-long civil war to an end"", Peace: 1951
Alan, Hodgkin, ""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"", Medicine: 1914
David J., Gross, ""for the discovery of asymptotic freedom in the theory of the strong interaction"", Physics: 1941
Rudyard, Kipling, ""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"", Literature: ",1865,born,1907,1865,1936,1907
59,"Paul J., Crutzen, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: 1933
Owen, Chamberlain, ""for their discovery of the antiproton"", Physics: 1920
Hermann, Hesse, ""for his inspired writings which while growing in boldness and penetration exemplify the classical humanitarian ideals and high qualities of style"", Literature: 1877
Hartmut, Michel, ""for the determination of the three-dimensional structure of a photosynthetic reaction centre"", Chemistry: ",1948,born,1948,1948,,1988
60,"Norman F., Ramsey, ""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"", Physics: 1915
Claude, Cohen-Tannoudji, ""for development of methods to cool and trap atoms with laser light"", Physics: 1933
Akira, Yoshino, ""for the development of lithium-ion batteries"", Chemistry: 1948
Ivar, Giaever, ""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively"", Physics: ",1929,born,1929,1929,,1973
61,"Julius, Wagner-Jauregg, ""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica"", Medicine: 1857
Theodore, Roosevelt, ""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia"", Peace: 1858
Miguel Angel, Asturias, ""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America"", Literature: 1899
Reinhard, Genzel, ""for the discovery of a supermassive compact object at the centre of our galaxy"", Physics: ",1952,born,1952,1952,,2020
62,"Sinclair, Lewis, ""for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters"", Literature: 1885
Owen, Chamberlain, ""for their discovery of the antiproton"", Physics: 1920
Peter, Grünberg, ""for the discovery of Giant Magnetoresistance"", Physics: 1939
Karl, Ziegler, ""for their discoveries in the field of the chemistry and technology of high polymers"", Chemistry: ",1898,born,1898,1898,1973,1963
